OBJECTID,Asset Group,SAP ID,Validation State,GlobalID,Description,Site,Site Description,Local Board,Street Name,Street Number,City,Shape__Area,Shape__Length
500,Sports Field Soil,1000143065,3,08b8dde3-32a5-4260-aa79-33fb0d68f67b,Winter - Soil - 1 - Football,10586,Beachlands Domain,Franklin,Beachlands Road,35R,Auckland,6548.736328125,327.106614593642
501,Sports Field Soil,1000135062,3,4c6b633d-bcb9-47be-97c0-4427827752ae,Winter - Soil - 2 - Football,10194,Waikaraka Park,Maungakiekie-Tamaki,Neilson Street,175-243,Auckland Central,5799.408203125,315.979933696649
502,Sports Field Sand,1000145247,3,63e5297b-3c2e-4abe-9066-d4efc5890e89,Winter - Sand - 10 - Rugby Union,10588,Lloyd Elsmore Park,Howick,Bells Road,2R,Auckland East,8399.994140625,379.999596945744
503,Sports Field Soil,1000146835,3,f8a5ee69-56d8-4237-9fe2-16d07e62dc58,Winter - Soil - 1 - Shared Use,10751,David Lange Park,Mangere-Otahuhu,Bader Drive,98R,Auckland,11748.3759765625,440.556193582116
504,Sports Field Soil,1000137450,3,2417f847-9f8b-430a-ba81-6f16bccb1f6b,Sport - Soil Sbk15,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,4288.302734375,576.06906034906
505,Sports Field Soil,1000139343,3,4199516a-cb0a-4965-8ec3-e0ee90c85f31,Sport - Soil Sbk22,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,12376.4169921875,720.121931946957
506,Sports Field Soil,1000137693,3,3dd10691-9e97-4f0b-afb1-04fdd55f13e0,Sport - Soil Sbj74,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,115.9482421875,43.4620242117474
507,Sports Field Soil,1000139388,3,d8d18b9c-6e47-4451-9f16-d1b1bce0e714,Sport - Soil Sbj42,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,1183.5234375,168.133128283918
508,Sports Field Soil,1000137606,3,9a0a94b9-a65a-4db9-b9d8-20030323ab70,Sport - Soil Sbj93,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,192.1015625,50.7645405408823
509,Sports Field Soil,1000142866,3,5461337f-01d5-4832-9cb9-7b66aed2f97f,Winter - Soil - 5 - Rugby Union,10534,Karaka Sports Park & Karaka Hall,Franklin,Blackbridge Road,,Franklin,8399.916015625,379.998464598622
