Financial year,Industry,Industry Code,Quartile label,Financial benchmark,Value type,Value,Value Unit,Value Label,Null Reason
2024,Catering services,H4513,Medium,Stock turnover per annum,Median (50th percentile),32,number,Ratio,
2024,Catering services,H4513,Medium,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Catering services,H4513,Medium,Return on equity,Upper bound (75th percentile),0.76,percentage,% of total proprietor or shareholder funds,
2024,Catering services,H4513,Medium,Return on equity,Median (50th percentile),0.13,percentage,% of total proprietor or shareholder funds,
2024,Catering services,H4513,Medium,Return on total assets,Lower bound (25th percentile),0,percentage,% of total assets,
2024,Catering services,H4513,Medium,Return on total assets,Upper bound (75th percentile),0.22,percentage,% of total assets,
2024,Catering services,H4513,Medium,Return on total assets,Median (50th percentile),0.01,percentage,% of total assets,
2024,Catering services,H4513,Medium,Salaries and wages / turnover ratio,Lower bound (25th percentile),0.03,percentage,% of turnover income,
2024,Catering services,H4513,Medium,Salaries and wages / turnover ratio,Upper bound (75th percentile),0.33,percentage,% of turnover income,
2024,Catering services,H4513,Medium,Salaries and wages / turnover ratio,Median (50th percentile),0.21,percentage,% of turnover income,
2024,Catering services,H4513,Micro,Gross profit ratio,Lower bound (25th percentile),0.52,percentage,% of sales and/or services,
2024,Catering services,H4513,Micro,Gross profit ratio,Upper bound (75th percentile),0.69,percentage,% of sales and/or services,
2024,Catering services,H4513,Micro,Gross profit ratio,Median (50th percentile),0.58,percentage,% of sales and/or services,
2024,Catering services,H4513,Micro,Liability structure,Upper bound (75th percentile),0.88,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Catering services,H4513,Micro,Liability structure,Median (50th percentile),0.12,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Catering services,H4513,Micro,Quick ratio,Lower bound (25th percentile),0.14,percentage,% of total current liabilities,
