Calendar Year,Measure,Item,Item Code,Code,Value,Value Unit,Value Label,Null Reason
2020,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,190840,nzd,NZD thousands,
2021,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,182606,nzd,NZD thousands,
2022,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,213668,nzd,NZD thousands,
2023,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,209493,nzd,NZD thousands,
2024,Imports (cost including insurance and freight),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,205355,nzd,NZD thousands,
2000,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,49110,nzd,NZD thousands,
2001,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,59186,nzd,NZD thousands,
2002,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,54216,nzd,NZD thousands,
2003,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,42606,nzd,NZD thousands,
2004,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,42145,nzd,NZD thousands,
2005,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,56813,nzd,NZD thousands,
2006,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,65461,nzd,NZD thousands,
2007,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,62542,nzd,NZD thousands,
2008,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,78211,nzd,NZD thousands,
2009,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,76838,nzd,NZD thousands,
2010,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,83832,nzd,NZD thousands,
2011,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,103897,nzd,NZD thousands,
2012,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,89164,nzd,NZD thousands,
2013,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,97378,nzd,NZD thousands,
2014,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,125314,nzd,NZD thousands,
2015,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,133281,nzd,NZD thousands,
2016,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,119752,nzd,NZD thousands,
2017,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,138322,nzd,NZD thousands,
2018,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,142292,nzd,NZD thousands,
2019,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,161823,nzd,NZD thousands,
2020,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,185072,nzd,NZD thousands,
2021,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,175681,nzd,NZD thousands,
2022,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,202277,nzd,NZD thousands,
2023,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,201787,nzd,NZD thousands,
2024,Imports (value for duty),"Fish and crustaceans, molluscs and other aquatic invertebrates",HS03,03,199757,nzd,NZD thousands,
2000,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,40818,nzd,NZD thousands,
2001,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,41793,nzd,NZD thousands,
2002,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,50688,nzd,NZD thousands,
2003,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,40201,nzd,NZD thousands,
2004,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,45583,nzd,NZD thousands,
2005,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,69477,nzd,NZD thousands,
2006,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,77413,nzd,NZD thousands,
2007,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,103176,nzd,NZD thousands,
2008,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,110888,nzd,NZD thousands,
2009,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,128341,nzd,NZD thousands,
2010,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,122407,nzd,NZD thousands,
2011,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,130093,nzd,NZD thousands,
2012,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,182426,nzd,NZD thousands,
2013,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,196611,nzd,NZD thousands,
2014,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,213317,nzd,NZD thousands,
2015,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,269395,nzd,NZD thousands,
2016,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,204599,nzd,NZD thousands,
2017,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,241518,nzd,NZD thousands,
2018,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,307880,nzd,NZD thousands,
2019,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,371319,nzd,NZD thousands,
2020,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,363084,nzd,NZD thousands,
2021,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,290406,nzd,NZD thousands,
2022,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,294798,nzd,NZD thousands,
2023,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,323258,nzd,NZD thousands,
2024,Imports (cost including insurance and freight),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,285368,nzd,NZD thousands,
2000,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,38457,nzd,NZD thousands,
2001,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,39451,nzd,NZD thousands,
2002,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,48041,nzd,NZD thousands,
2003,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,37664,nzd,NZD thousands,
2004,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,42886,nzd,NZD thousands,
2005,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,64855,nzd,NZD thousands,
2006,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,72504,nzd,NZD thousands,
2007,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,97354,nzd,NZD thousands,
2008,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,104108,nzd,NZD thousands,
2009,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,121428,nzd,NZD thousands,
2010,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,115882,nzd,NZD thousands,
2011,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,122903,nzd,NZD thousands,
2012,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,173075,nzd,NZD thousands,
2013,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,186282,nzd,NZD thousands,
2014,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,199943,nzd,NZD thousands,
2015,Imports (value for duty),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",HS04,04,255086,nzd,NZD thousands,
