Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Value,Value Unit,Value Label,Null Reason
2024,Civil engineering,S0309,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,740,number,Number of students enrolled,
2024,Civil engineering,S0309,Bachelor degree,Bachelor Degree,725,number,Number of students enrolled,
2024,Civil engineering,S0309,Graduate diploma/certificate,Graduate Diploma/Certificate,100,number,Number of students enrolled,
2024,Civil engineering,S0309,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,1855,number,Number of students enrolled,
2024,Civil engineering,S0309,Masters degree,Masters Degree,985,number,Number of students enrolled,
2024,Civil engineering,S0309,Doctorate degree,Doctorate Degree,390,number,Number of students enrolled,
2024,Civil engineering,S0309,Total people,Total,6545,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Level 4 certificate,Level 4 Certificate,0,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,170,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Bachelor degree,Bachelor Degree,340,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,10,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Masters degree,Masters Degree,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,10,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Total people,Total,535,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,5,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,885,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,2690,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,5415,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,475,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Bachelor degree,Bachelor Degree,1105,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Graduate diploma/certificate,Graduate Diploma/Certificate,90,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,2110,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Masters degree,Masters Degree,280,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Doctorate degree,Doctorate Degree,240,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Total people,Total,12995,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Level 1 certificate,Level 1 Certificate,35,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Level 3 certificate,Level 3 Certificate,230,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Level 4 certificate,Level 4 Certificate,700,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,690,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Bachelor degree,Bachelor Degree,295,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Graduate diploma/certificate,Graduate Diploma/Certificate,20,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,10,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Masters degree,Masters Degree,45,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Doctorate degree,Doctorate Degree,5,number,Number of students enrolled,
2024,Aerospace engineering and technology,S0315,Total people,Total,1905,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Level 2 certificate,Level 2 Certificate,5,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Level 3 certificate,Level 3 Certificate,250,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Level 4 certificate,Level 4 Certificate,735,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,250,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Bachelor degree,Bachelor Degree,5,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Graduate diploma/certificate,Graduate Diploma/Certificate,0,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,10,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Masters degree,Masters Degree,0,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Doctorate degree,Doctorate Degree,0,number,Number of students enrolled,
2024,Maritime engineering and technology,S0317,Total people,Total,1200,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Level 1 certificate,Level 1 Certificate,5,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Level 2 certificate,Level 2 Certificate,65,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Level 3 certificate,Level 3 Certificate,30,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Level 4 certificate,Level 4 Certificate,15,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,465,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Bachelor degree,Bachelor Degree,965,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Graduate diploma/certificate,Graduate Diploma/Certificate,20,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,6220,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Masters degree,Masters Degree,620,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Doctorate degree,Doctorate Degree,480,number,Number of students enrolled,
2024,Other engineering and related technologies,S0399,Total people,Total,8800,number,Number of students enrolled,
2024,Architecture and building,S04,Level 1 certificate,Level 1 Certificate,495,number,Number of students enrolled,
2024,Architecture and building,S04,Level 2 certificate,Level 2 Certificate,1410,number,Number of students enrolled,
2024,Architecture and building,S04,Level 3 certificate,Level 3 Certificate,4145,number,Number of students enrolled,
2024,Architecture and building,S04,Level 4 certificate,Level 4 Certificate,10575,number,Number of students enrolled,
2024,Architecture and building,S04,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,3550,number,Number of students enrolled,
