Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Ethnic group,Value,Value Unit,Value Label,Null Reason
2024,Mathematical sciences,S0101,Masters degree,Masters Degree,Domestic,Māori,10,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Masters degree,Masters Degree,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Masters degree,Masters Degree,Domestic,Asian,165,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Masters degree,Masters Degree,Domestic,Other,30,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Masters degree,Masters Degree,Domestic,Total,335,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Doctorate degree,Doctorate Degree,Domestic,European,50,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Doctorate degree,Doctorate Degree,Domestic,Māori,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Doctorate degree,Doctorate Degree,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Doctorate degree,Doctorate Degree,Domestic,Asian,25,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Doctorate degree,Doctorate Degree,Domestic,Other,10,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Doctorate degree,Doctorate Degree,Domestic,Total,80,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Total people,Total,Domestic,European,3950,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Total people,Total,Domestic,Māori,690,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Total people,Total,Domestic,Pacific Peoples,630,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Total people,Total,Domestic,Asian,2310,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Total people,Total,Domestic,Other,495,number,Number of students enrolled,
2024,Mathematical sciences,S0101,Total people,Total,Domestic,Total,6920,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 1 certificate,Level 1 Certificate,Domestic,European,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 1 certificate,Level 1 Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 1 certificate,Level 1 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 1 certificate,Level 1 Certificate,Domestic,Asian,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 1 certificate,Level 1 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 1 certificate,Level 1 Certificate,Domestic,Total,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 2 certificate,Level 2 Certificate,Domestic,European,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 2 certificate,Level 2 Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 2 certificate,Level 2 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 2 certificate,Level 2 Certificate,Domestic,Asian,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 2 certificate,Level 2 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 2 certificate,Level 2 Certificate,Domestic,Total,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 3 certificate,Level 3 Certificate,Domestic,European,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 3 certificate,Level 3 Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 3 certificate,Level 3 Certificate,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 3 certificate,Level 3 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 3 certificate,Level 3 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 3 certificate,Level 3 Certificate,Domestic,Total,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 4 certificate,Level 4 Certificate,Domestic,European,130,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 4 certificate,Level 4 Certificate,Domestic,Māori,55,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 4 certificate,Level 4 Certificate,Domestic,Pacific Peoples,115,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 4 certificate,Level 4 Certificate,Domestic,Asian,185,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 4 certificate,Level 4 Certificate,Domestic,Other,50,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 4 certificate,Level 4 Certificate,Domestic,Total,430,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,European,10,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Māori,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Asian,0,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Other,5,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,10,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Bachelor degree,Bachelor Degree,Domestic,European,660,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Bachelor degree,Bachelor Degree,Domestic,Māori,70,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Bachelor degree,Bachelor Degree,Domestic,Pacific Peoples,50,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Bachelor degree,Bachelor Degree,Domestic,Asian,195,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Bachelor degree,Bachelor Degree,Domestic,Other,50,number,Number of students enrolled,
2024,Physics and astronomy,S0103,Bachelor degree,Bachelor Degree,Domestic,Total,875,number,Number of students enrolled,
