Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Value,Value Unit,Value Label,Null Reason
2021,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,2640,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,2390,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,2685,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,International,2780,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,20795,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,20485,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,20090,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,20270,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,20415,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,20100,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,20635,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,19240,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,18865,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Total,18595,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,305,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,325,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,315,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,295,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,295,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,310,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,325,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,305,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,280,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,225,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,75,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,95,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,120,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,110,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,210,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,200,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,International,90,number,Number of students enrolled,
