Year ended June,Measure,External cause of injury or poisoning,External cause of injury or poisoning Code,Sex,Age group,Value,Value Unit,Value Label,Null Reason
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,60-64,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,65-69,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,70-74,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,75-79,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,80-84,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Female,85-*,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,total,139676,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,*-4,6570,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,5-9,5271,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,10-14,5812,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,15-19,6724,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,20-24,7157,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,25-29,7083,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,30-34,6983,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,35-39,5879,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,40-44,5258,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,45-49,5486,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,50-54,6592,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,55-59,6969,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,60-64,7520,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,65-69,7788,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,70-74,8402,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,75-79,9733,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,80-84,11000,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Total,85-*,19449,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,total,74279,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,*-4,3743,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,5-9,2885,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,10-14,3772,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,15-19,4503,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,20-24,4678,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,25-29,4618,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,30-34,4530,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,35-39,3743,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,40-44,3357,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,45-49,3385,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,50-54,3838,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,55-59,3736,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,60-64,3936,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,65-69,3887,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,70-74,3990,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,75-79,4333,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,80-84,4395,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Male,85-*,6950,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,total,65397,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,*-4,2827,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,5-9,2386,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,10-14,2040,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,15-19,2221,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,20-24,2479,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,25-29,2465,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,30-34,2453,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,35-39,2136,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,40-44,1901,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,45-49,2101,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,50-54,2754,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,55-59,3233,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,60-64,3584,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,65-69,3901,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,70-74,4412,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,75-79,5400,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,80-84,6605,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-X59 Accidents,V00-X59,Female,85-*,12499,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,total,19227,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,*-4,349,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,5-9,543,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,10-14,1106,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,15-19,2000,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,20-24,1797,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,25-29,1693,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,30-34,1524,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,35-39,1206,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,40-44,1033,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,45-49,1116,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,50-54,1265,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,55-59,1310,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,V00-V99 Transport accidents,V00-V99,Total,60-64,1073,number,Number of hospitalisations,
