Calendar Year,Measure,Item,Item Code,Code,Value,Value Unit,Value Label,Null Reason
2016,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,440895,nzd,NZD thousands,
2017,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,437343,nzd,NZD thousands,
2018,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,405885,nzd,NZD thousands,
2019,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,494565,nzd,NZD thousands,
2020,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,496730,nzd,NZD thousands,
2021,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,480631,nzd,NZD thousands,
2022,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,462143,nzd,NZD thousands,
2023,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,502845,nzd,NZD thousands,
2024,Total Exports (exports + re-exports) (free on board),Vegetables and certain roots and tubers; edible,HS07,07,550996,nzd,NZD thousands,
2000,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1097495,nzd,NZD thousands,
2001,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1002378,nzd,NZD thousands,
2002,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1105722,nzd,NZD thousands,
2003,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,999545,nzd,NZD thousands,
2004,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1390850,nzd,NZD thousands,
2005,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1168173,nzd,NZD thousands,
2006,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1202422,nzd,NZD thousands,
2007,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1285705,nzd,NZD thousands,
2008,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1445377,nzd,NZD thousands,
2009,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1600766,nzd,NZD thousands,
2010,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1471029,nzd,NZD thousands,
2011,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1592596,nzd,NZD thousands,
2012,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1564174,nzd,NZD thousands,
2013,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1483448,nzd,NZD thousands,
2014,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,1773297,nzd,NZD thousands,
2015,Total Exports (exports + re-exports) (free on board),"Fruit and nuts, edible; peel of citrus fruit or melons",HS08,08,2305911,nzd,NZD thousands,
