Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2015,Trainees,Agriculture,S0501,9240,number,Number of people,
2016,Trainees,Agriculture,S0501,7625,number,Number of people,
2017,Trainees,Agriculture,S0501,5900,number,Number of people,
2018,Trainees,Agriculture,S0501,4345,number,Number of people,
2019,Trainees,Agriculture,S0501,3530,number,Number of people,
2020,Trainees,Agriculture,S0501,2715,number,Number of people,
2021,Trainees,Agriculture,S0501,2750,number,Number of people,
2022,Trainees,Agriculture,S0501,2760,number,Number of people,
2023,Trainees,Agriculture,S0501,1965,number,Number of people,
2024,Trainees,Agriculture,S0501,1775,number,Number of people,
2015,Trainees,Architecture and urban environment,S0401,55,number,Number of people,
2016,Trainees,Architecture and urban environment,S0401,80,number,Number of people,
2017,Trainees,Architecture and urban environment,S0401,105,number,Number of people,
2018,Trainees,Architecture and urban environment,S0401,105,number,Number of people,
2019,Trainees,Architecture and urban environment,S0401,40,number,Number of people,
2020,Trainees,Architecture and urban environment,S0401,5,number,Number of people,
2021,Trainees,Architecture and urban environment,S0401,0,number,Number of people,
2022,Trainees,Architecture and urban environment,S0401,0,number,Number of people,
2023,Trainees,Architecture and urban environment,S0401,0,number,Number of people,
2024,Trainees,Architecture and urban environment,S0401,0,number,Number of people,
2015,Trainees,Automotive engineering and technology,S0305,260,number,Number of people,
2016,Trainees,Automotive engineering and technology,S0305,330,number,Number of people,
2017,Trainees,Automotive engineering and technology,S0305,320,number,Number of people,
2018,Trainees,Automotive engineering and technology,S0305,290,number,Number of people,
2019,Trainees,Automotive engineering and technology,S0305,315,number,Number of people,
2020,Trainees,Automotive engineering and technology,S0305,445,number,Number of people,
2021,Trainees,Automotive engineering and technology,S0305,810,number,Number of people,
2022,Trainees,Automotive engineering and technology,S0305,855,number,Number of people,
2023,Trainees,Automotive engineering and technology,S0305,870,number,Number of people,
2024,Trainees,Automotive engineering and technology,S0305,870,number,Number of people,
2015,Trainees,"Banking, finance and related fields",S0811,135,number,Number of people,
2016,Trainees,"Banking, finance and related fields",S0811,95,number,Number of people,
2017,Trainees,"Banking, finance and related fields",S0811,190,number,Number of people,
2018,Trainees,"Banking, finance and related fields",S0811,275,number,Number of people,
2019,Trainees,"Banking, finance and related fields",S0811,705,number,Number of people,
2020,Trainees,"Banking, finance and related fields",S0811,1205,number,Number of people,
2021,Trainees,"Banking, finance and related fields",S0811,940,number,Number of people,
2022,Trainees,"Banking, finance and related fields",S0811,1285,number,Number of people,
2023,Trainees,"Banking, finance and related fields",S0811,970,number,Number of people,
2024,Trainees,"Banking, finance and related fields",S0811,475,number,Number of people,
2015,Trainees,Building,S0403,1020,number,Number of people,
2016,Trainees,Building,S0403,1300,number,Number of people,
2017,Trainees,Building,S0403,1370,number,Number of people,
2018,Trainees,Building,S0403,1480,number,Number of people,
2019,Trainees,Building,S0403,1435,number,Number of people,
2020,Trainees,Building,S0403,2085,number,Number of people,
2021,Trainees,Building,S0403,2945,number,Number of people,
2022,Trainees,Building,S0403,3590,number,Number of people,
2023,Trainees,Building,S0403,3080,number,Number of people,
2024,Trainees,Building,S0403,3870,number,Number of people,
2015,Trainees,Business and management,S0803,4270,number,Number of people,
2016,Trainees,Business and management,S0803,4560,number,Number of people,
2017,Trainees,Business and management,S0803,4620,number,Number of people,
2018,Trainees,Business and management,S0803,4675,number,Number of people,
2019,Trainees,Business and management,S0803,4910,number,Number of people,
2020,Trainees,Business and management,S0803,4210,number,Number of people,
2021,Trainees,Business and management,S0803,4040,number,Number of people,
2022,Trainees,Business and management,S0803,3250,number,Number of people,
2023,Trainees,Business and management,S0803,3150,number,Number of people,
2024,Trainees,Business and management,S0803,3380,number,Number of people,
2015,Trainees,Civil engineering,S0309,2140,number,Number of people,
2016,Trainees,Civil engineering,S0309,2330,number,Number of people,
2017,Trainees,Civil engineering,S0309,2235,number,Number of people,
2018,Trainees,Civil engineering,S0309,2090,number,Number of people,
2019,Trainees,Civil engineering,S0309,1580,number,Number of people,
2020,Trainees,Civil engineering,S0309,1350,number,Number of people,
2021,Trainees,Civil engineering,S0309,1905,number,Number of people,
2022,Trainees,Civil engineering,S0309,2590,number,Number of people,
2023,Trainees,Civil engineering,S0309,1915,number,Number of people,
2024,Trainees,Civil engineering,S0309,1805,number,Number of people,
2015,Trainees,Earth sciences,S0107,0,number,Number of people,
2016,Trainees,Earth sciences,S0107,0,number,Number of people,
2017,Trainees,Earth sciences,S0107,0,number,Number of people,
2018,Trainees,Earth sciences,S0107,0,number,Number of people,
2019,Trainees,Earth sciences,S0107,0,number,Number of people,
2020,Trainees,Earth sciences,S0107,0,number,Number of people,
2021,Trainees,Earth sciences,S0107,0,number,Number of people,
2022,Trainees,Earth sciences,S0107,0,number,Number of people,
2023,Trainees,Earth sciences,S0107,0,number,Number of people,
2024,Trainees,Earth sciences,S0107,5,number,Number of people,
2015,Trainees,Electrical and electronic engineering and technology,S0313,3550,number,Number of people,
2016,Trainees,Electrical and electronic engineering and technology,S0313,4755,number,Number of people,
2017,Trainees,Electrical and electronic engineering and technology,S0313,2835,number,Number of people,
2018,Trainees,Electrical and electronic engineering and technology,S0313,1640,number,Number of people,
2019,Trainees,Electrical and electronic engineering and technology,S0313,885,number,Number of people,
2020,Trainees,Electrical and electronic engineering and technology,S0313,510,number,Number of people,
2021,Trainees,Electrical and electronic engineering and technology,S0313,990,number,Number of people,
2022,Trainees,Electrical and electronic engineering and technology,S0313,2175,number,Number of people,
2023,Trainees,Electrical and electronic engineering and technology,S0313,1525,number,Number of people,
2024,Trainees,Electrical and electronic engineering and technology,S0313,985,number,Number of people,
2015,Trainees,Employment skills programmes,S1205,315,number,Number of people,
2016,Trainees,Employment skills programmes,S1205,5,number,Number of people,
2017,Trainees,Employment skills programmes,S1205,5,number,Number of people,
2018,Trainees,Employment skills programmes,S1205,0,number,Number of people,
2019,Trainees,Employment skills programmes,S1205,0,number,Number of people,
2020,Trainees,Employment skills programmes,S1205,0,number,Number of people,
2021,Trainees,Employment skills programmes,S1205,0,number,Number of people,
2022,Trainees,Employment skills programmes,S1205,0,number,Number of people,
2023,Trainees,Employment skills programmes,S1205,0,number,Number of people,
2024,Trainees,Employment skills programmes,S1205,0,number,Number of people,
2015,Trainees,Environmental studies,S0509,5,number,Number of people,
2016,Trainees,Environmental studies,S0509,20,number,Number of people,
2017,Trainees,Environmental studies,S0509,20,number,Number of people,
2018,Trainees,Environmental studies,S0509,15,number,Number of people,
2019,Trainees,Environmental studies,S0509,10,number,Number of people,
2020,Trainees,Environmental studies,S0509,10,number,Number of people,
2021,Trainees,Environmental studies,S0509,5,number,Number of people,
2022,Trainees,Environmental studies,S0509,0,number,Number of people,
2023,Trainees,Environmental studies,S0509,0,number,Number of people,
2024,Trainees,Environmental studies,S0509,5,number,Number of people,
2015,Trainees,Fisheries studies,S0507,585,number,Number of people,
2016,Trainees,Fisheries studies,S0507,380,number,Number of people,
2017,Trainees,Fisheries studies,S0507,465,number,Number of people,
2018,Trainees,Fisheries studies,S0507,330,number,Number of people,
2019,Trainees,Fisheries studies,S0507,125,number,Number of people,
