Census Year,Subject population,Age group,Post-school qualification field of study,Post-school qualification field of study Code,Unit,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population,15-*,Botany,S010903,Percentage of total stated,0.04962388517375,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Botany,S010903,Count,1980,number,Number of people,
2023,Census usually resident population,15-*,Botany,S010903,Percentage of total stated,0.05134069216588,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Ecology and evolution,S010905,Count,1479,number,Number of people,
2013,Census usually resident population,15-*,Ecology and evolution,S010905,Percentage of total stated,0.05006941672684,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Ecology and evolution,S010905,Count,1923,number,Number of people,
2018,Census usually resident population,15-*,Ecology and evolution,S010905,Percentage of total stated,0.05484294895927,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Ecology and evolution,S010905,Count,2589,number,Number of people,
2023,Census usually resident population,15-*,Ecology and evolution,S010905,Percentage of total stated,0.06713184445326,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Marine science,S010907,Count,1230,number,Number of people,
2013,Census usually resident population,15-*,Marine science,S010907,Percentage of total stated,0.04163988003652,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Marine science,S010907,Count,1695,number,Number of people,
2018,Census usually resident population,15-*,Marine science,S010907,Percentage of total stated,0.04834050883305,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Marine science,S010907,Count,1893,number,Number of people,
2023,Census usually resident population,15-*,Marine science,S010907,Percentage of total stated,0.04908481326768,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Genetics,S010909,Count,774,number,Number of people,
2013,Census usually resident population,15-*,Genetics,S010909,Percentage of total stated,0.0262026562181,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Genetics,S010909,Count,936,number,Number of people,
2018,Census usually resident population,15-*,Genetics,S010909,Percentage of total stated,0.02669422788657,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Genetics,S010909,Count,1134,number,Number of people,
2023,Census usually resident population,15-*,Genetics,S010909,Percentage of total stated,0.02940421460409,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Microbiology,S010911,Count,2466,number,Number of people,
2013,Census usually resident population,15-*,Microbiology,S010911,Percentage of total stated,0.08348288143907,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Microbiology,S010911,Count,2718,number,Number of people,
2018,Census usually resident population,15-*,Microbiology,S010911,Percentage of total stated,0.07751593097831,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Microbiology,S010911,Count,3024,number,Number of people,
2023,Census usually resident population,15-*,Microbiology,S010911,Percentage of total stated,0.07841123894425,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Human biology,S010913,Count,2103,number,Number of people,
2013,Census usually resident population,15-*,Human biology,S010913,Percentage of total stated,0.07119403879415,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Human biology,S010913,Count,2514,number,Number of people,
2018,Census usually resident population,15-*,Human biology,S010913,Percentage of total stated,0.0716979582338,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Human biology,S010913,Count,2853,number,Number of people,
2023,Census usually resident population,15-*,Human biology,S010913,Percentage of total stated,0.07397727007538,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Zoology,S010915,Count,4329,number,Number of people,
2013,Census usually resident population,15-*,Zoology,S010915,Percentage of total stated,0.146552065592,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Zoology,S010915,Count,3729,number,Number of people,
2018,Census usually resident population,15-*,Zoology,S010915,Percentage of total stated,0.1063491194327,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Zoology,S010915,Count,4017,number,Number of people,
2023,Census usually resident population,15-*,Zoology,S010915,Percentage of total stated,0.1041593739547,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Neuroscience,S010916,Count,312,number,Number of people,
2013,Census usually resident population,15-*,Neuroscience,S010916,Percentage of total stated,0.01056231103365,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Neuroscience,S010916,Count,579,number,Number of people,
2018,Census usually resident population,15-*,Neuroscience,S010916,Percentage of total stated,0.01651277558368,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Neuroscience,S010916,Count,837,number,Number of people,
2023,Census usually resident population,15-*,Neuroscience,S010916,Percentage of total stated,0.02170311077921,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Biological sciences not elsewhere classified,S010999,Count,291,number,Number of people,
2013,Census usually resident population,15-*,Biological sciences not elsewhere classified,S010999,Percentage of total stated,0.009851386252543,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Biological sciences not elsewhere classified,S010999,Count,216,number,Number of people,
2018,Census usually resident population,15-*,Biological sciences not elsewhere classified,S010999,Percentage of total stated,0.006160206435362,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Biological sciences not elsewhere classified,S010999,Count,1107,number,Number of people,
