Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Gender,Age group,Value,Value Unit,Value Label,Null Reason
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,40-*,290,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,total,1185,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Female,*-17,30,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Female,18-19,3110,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Female,20-24,4670,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Female,25-39,970,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Female,40-*,275,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Female,total,9055,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Male,*-17,35,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Male,18-19,1985,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Male,20-24,3570,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Male,25-39,795,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Male,40-*,160,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Male,total,6545,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Total,*-17,65,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Total,18-19,5160,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Total,20-24,8370,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Total,25-39,1785,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Total,40-*,440,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Bachelor degree,Bachelor Degree,Domestic,Total,total,15815,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,20-24,15,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,25-39,75,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,40-*,40,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,total,130,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,20-24,15,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,25-39,55,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,40-*,30,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,total,100,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,20-24,30,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,25-39,130,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,40-*,70,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,total,225,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,18-19,160,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,20-24,515,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,25-39,440,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,40-*,215,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,total,1325,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,*-17,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,18-19,390,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,20-24,565,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,25-39,210,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,40-*,60,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,total,1225,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,*-17,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,18-19,560,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,20-24,1085,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,25-39,655,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,40-*,275,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,total,2580,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Female,20-24,435,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Female,25-39,440,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Female,40-*,120,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Female,total,1000,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Male,18-19,5,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Male,20-24,295,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Masters degree,Masters Degree,Domestic,Male,25-39,265,number,Number of students enrolled,
