X,Y,OBJECTID,TYPE,Location,GlobalID,Facility,Description,NeedsChecking,SubType,PopUp,created_user,created_date,last_edited_user,last_edited_date,Shape
1773935.6275,5445092.5283,268,Recycling,Maidstone Max,{CD6AAD0C-D81A-4B03-AB5A-0E4CB6053D08},Rubbish Bin,Recycling Bins opposite Shelter,,3 Bay,Rubbish Bin,,,,,
1773929.0169,5445087.0867,269,,Maidstone Max,{A6B8F80B-7202-4ACD-9A7D-0FD103B2DE02},Drinking Fountain,Water Foundation by Shelter at Playground,,,Drinking Fountain,,,,,
1774039.8271,5445125.0335,270,Timber,Maidstone Max,{8E953707-318A-4F83-8D6F-0546233FC5A9},Picnic Table,Picnic Table under Shelter by Skate Park,,,Picnic Table,,,,,
1774020.2479,5445091.3255,271,Timber,Maidstone Max,{CC12C395-13AD-41FE-AF50-C9C8FA56062C},Picnic Table,Picnic Table by Water Fountain,,,Picnic Table,,,,,
1774024.7457,5445084.0231,272,Timber,Maidstone Max,{68C8DA71-AB1F-4689-83F9-15F7C5313967},Picnic Table,Picnic Table,,,Picnic Table,,,,,
1774020.1337,5445094.5675,274,,Maidstone Max,{7E64109F-FEBE-4A8B-B36D-891DAFB6CCF7},Drinking Fountain,Water Fountain opposite Playground,,,Drinking Fountain,,,,,
1772586.9005,5444746.5707,275,Timber,Ward/Miro Green Area,{D6F61A36-F4E9-4149-BC1D-F27D2EC3333B},Picnic Table,Picnic Table under Shelter,,,Picnic Table,,,LCARTER,2023/11/16 00:12:19+00,
1768973.9299,5442745.6075,276,Timber,Silverstream Park,{3746BC72-B183-42B7-9F3C-EAB11D19E753},Picnic Table,Picnic Table under Shelter,,,Picnic Table,,,,,
1769043.1543,5443604.9079,277,Timber,Heretaunga Park,{FE84D63D-6B1C-4D06-AEE8-1C90C2D7D965},Picnic Table,Picnic Table under Shelter,,,Picnic Table,,,,,
1767960.7877,5443375.1603,278,,County Lane,{D8A6E3DA-0049-4637-A0DC-40F774DF918E},Dog Bag Dispenser,Dog Dispenser next to Gate,,,Dog Bag Dispenser,,,,,
1769020.7529,5441701.2595,279,Timber,Pinehaven Reserve,{3404557E-0DFF-4AFF-ACF8-E5516491BD91},Picnic Table,Premier Picnic Setting -3 leg SF 400 x 40 Brown Table Top,,,Picnic Table,,,,,
1775286.9709,5446383.3151,280,Recycled Plastic,Māoribank Park,{4A5049A5-5D0D-4CEB-9B13-0BC4E3C8FFE9},Picnic Table,Premier Picnic Setting -3 leg SF 400 x 40 Brown Table Top,,,Picnic Table,,,LCARTER,2023/11/22 21:14:57+00,
1774965.2065,5446252.1735,281,Tilley Tilt,Benge Park,{2B82395F-3CDF-47D9-AF4D-7AF95D2E3506},Rubbish Bin,Rubbish Bin in open space by PATH01,,,Rubbish Bin,,,,,
1771192.4659,5446386.5401,282,,Craigs Flat Reserve,{EB58E8D6-AC5B-4F60-9F78-8DAA7C391199},Dog Bag Dispenser,Dog Dispenser on Post next to path off Kirton Drive,,,Dog Bag Dispenser,,,,,
