RESERVE_NA,Alternative_Park_Name,Type,OBJECTID,UNITID,COMPKEY,COMPTYPE,Managed,Owner,Hectares,In_Parks_Maintenance_Contract,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
Plateau Reserve,Plateau Reserve,Nature Reserve,104, ,0,0,Yes,UHCC,0.39331493,No,{0BA7C1C8-2838-4FD7-94AB-47023B1FCC82},,,,,3933.1271475,478.639363822335
McLeod Park,McLeod Park,Community Park,109, ,0,0,Yes,UHCC,1.02607321,Yes,{FF6337F8-0C11-4649-BAD8-A54A7EBFF6B6},,,,,10260.034476955,480.41192954614
Mt Marua Drive Reserve,Mt Marua Drive Reserve,Pocket Park,110, ,0,0,Yes,UHCC,0.08888044,Yes,{234D4997-9DEB-4D0C-9D5E-5E81C6C0BE27},,,,,888.782300575,162.005212964247
Ngāti Tama Park,Ngāti Tama Park,Neighbourhood Park,119, ,0,0,Yes,GWRC,11.2130615,Yes,{2A8C5D0D-DB06-4560-A8EA-E764BD4B8A75},,,,,111959.18193509,3534.84127646281
King Charles Reserve,King Charles Reserve,Pocket Park,120, ,0,0,Yes,UHCC,0.05664946,No,{70B52EF7-9FD4-45E4-91F2-0C402D1EEE00},,,,,1412.375313395,186.903285714294
Riverstone Reserve,Riverstone Reserve,Nature Reserve,125,RIVERSTONE-RESERVE,89284,18,Yes,UHCC,0.42832389,Yes,{354CA9AD-D14D-4B33-8A30-270115817B7B},,,,,4282.910128605,439.078747972226
Riverstone Reserve,Riverstone Reserve,Nature Reserve,126,RIVERSTONE-RESERVE,89284,18,Yes,UHCC,0.285279,Yes,{74C29814-5287-41AE-B89E-5419B552723A},,,,,2852.558165425,246.719561939008
Riverstone Reserve,Riverstone Reserve,Nature Reserve,127,RIVERSTONE-RESERVE,89284,18,Yes,UHCC,5.53626426,Yes,{0EF3EDB8-74FA-4EC2-B389-1DAD47D08EE1},,,,,55358.30525952,1738.35368351807
Riverstone Reserve,Riverstone Reserve,Nature Reserve,128,RIVERSTONE-RESERVE,89284,18,Yes,UHCC,3.41776179,No,{478B00E0-9E00-4984-8B41-FAE8EC4D0C09},,,,,34175.07147506,2474.98589596166
Riverstone Reserve,Riverstone Reserve,Nature Reserve,129,RIVERSTONE-RESERVE,89284,18,Yes,UHCC,7.29640391,Yes,{423BF5A2-8E30-4E71-A7EB-E2667E3FAEFE},,,,,72942.73170672,3472.41530389788
Riverstone Reserve,Riverstone Reserve,Nature Reserve,130,RIVERSTONE-RESERVE,89284,18,Yes,UHCC,1.94270255,No,{2EA6D4C1-3F9C-4B5B-851A-D1CF06336B5A},,,,,19425.64650027,1766.90765349613
Stan Young Park,Stan Young Park,Neighbourhood Park,139,,,,Yes,UHCC,,Yes,{619F8EF7-D383-4100-9A2A-EDB8E2E9187A},,,,,2785.926683305,207.44966554756
