SportFieldID,ServiceStatus,SportCode,SportLevel,SportBookingOrganisation,SportSeason,SportSurface,FieldNumber,FieldName,LongDescription,SeasonStartDate,SeasonEndDate,MidSeasonBreakStartDate,MidSeasonBreakEndDate,TrainingDays,MatchDays,ParkName,InContract,ContractArea,CreateDate,LastEditDate,SHAPE_Length,SHAPE_Area
2177,In Service,Ultimate Frisbee,Senior,Unknown,Summer,Grass,4,Senior Ultimate Frisbee 4,,,,,,,"Monday,Thursday,Sunday",Nunweek Park,Yes,Northern Contract Area,2019/08/29 14:35:30+00,2024/09/04 09:40:20+00,280.84171210964,3891.72468170344
2178,In Service,Football,Junior,Unknown,Summer,Grass,3,Junior Football 3,,2022/09/01 00:00:00+00,2023/03/31 00:00:00+00,2022/11/01 00:00:00+00,2023/02/01 00:00:00+00,"Monday,Tuesday,Wednesday,Thursday",,Tulett Park,Yes,Northern Contract Area,2019/09/04 14:00:39+00,2022/09/27 15:30:43+00,173.732412303511,1795.34696485468
2179,In Service,Football,Junior,Unknown,Summer,Grass,2,Junior Football 2,,2022/09/01 00:00:00+00,2023/03/31 00:00:00+00,2022/11/01 00:00:00+00,2023/02/01 00:00:00+00,"Monday,Tuesday,Wednesday,Thursday",,Tulett Park,Yes,Northern Contract Area,2019/09/04 14:04:27+00,2022/09/27 15:30:13+00,170.519867985901,1696.90984680879
2180,Out of Service,Football,Junior,Unknown,Summer,Grass,1,Junior Football 1,,2021/10/01 00:00:00+00,2022/03/30 00:00:00+00,2021/12/19 00:00:00+00,2022/01/10 00:00:00+00,"Monday,Tuesday,Wednesday,Thursday",,Tulett Park,Yes,Northern Contract Area,2019/09/04 14:04:52+00,2022/09/20 16:16:28+00,201.699474088414,2540.85500199695
2181,In Service,Softball,Senior,Unknown,Summer,Grass,1,Senior Softball 1,,2022/10/01 00:00:00+00,2023/03/26 00:00:00+00,2022/12/19 00:00:00+00,2023/01/13 00:00:00+00,Thursday,,Bromley Park,No,Northern Contract Area,2019/09/16 11:12:54+00,2022/09/20 16:16:28+00,99.1155013236448,690.607467445805
2182,Out of Service,Softball,Senior,Unknown,Summer,Grass,3,Senior Softball 3,,,,,,,,Englefield Reserve,No,Northern Contract Area,2019/09/16 11:15:39+00,2022/09/20 16:16:29+00,99.1155525103372,690.608386833221
2183,In Service,Softball,Senior,Unknown,Summer,Grass,1,Senior Softball 1,,2022/10/01 00:00:00+00,2023/03/26 00:00:00+00,2022/12/19 00:00:00+00,2023/01/13 00:00:00+00,"Tuesday,Thursday",,Macfarlane Park,No,Northern Contract Area,2019/09/16 11:26:24+00,2022/09/20 16:16:28+00,99.1157324936352,690.610150260936
2184,In Service,Softball,Senior,Unknown,Summer,Grass,2,Senior Softball 2,,2022/10/01 00:00:00+00,2023/03/26 00:00:00+00,2022/12/19 00:00:00+00,2023/01/13 00:00:00+00,"Tuesday,Thursday",,Macfarlane Park,No,Northern Contract Area,2019/09/16 11:26:37+00,2022/09/20 16:16:28+00,99.11546660766,690.606985588576
2185,Out of Service,Tag Football,Senior,Unknown,Summer,Grass,3,Senior Tag Football 3,,,,,,,,Opouira Knights Stream Park,No,Eastern Contract Area,2019/09/16 11:29:56+00,2022/09/20 16:16:29+00,248.556601827965,3686.04247649052
2186,Out of Service,Tag Football,Senior,Unknown,Summer,Grass,4,Senior Tag Football 4,,,,,,,,Opouira Knights Stream Park,Yes,Eastern Contract Area,2019/09/16 11:30:15+00,2022/09/20 16:16:29+00,248.556460702626,3686.0369100011
2188,In Service,Football,Intermediate,Unknown,Winter,Grass,1,Intermediate Football 1,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Heathcote Domain,Yes,Eastern Contract Area,2020/02/20 09:43:26+00,2024/06/18 12:53:39+00,247.331661153593,3494.26482127316
2189,In Service,Football,Junior,Unknown,Winter,Grass,1,Junior Football 1,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Heathcote Domain,Yes,Eastern Contract Area,2020/02/20 09:46:27+00,2024/06/18 12:53:17+00,171.119181316023,1724.43348994527
2190,In Service,Rugby,Junior,Unknown,Winter,Grass,3,Junior Rugby Union 3,,2024/05/04 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Burwood Park,Yes,Northern Contract Area,2020/02/20 09:50:09+00,2024/06/18 12:54:52+00,199.92181702339,2398.12237857498
2191,In Service,Football,Senior,Christchurch City Council,Winter,Grass,1,Senior Football 1,,2020/06/06 00:00:00+00,2020/09/27 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Garrick Park,,,2020/02/20 09:57:49+00,2022/04/05 08:00:16+00,366.182284316196,7774.02841108746
2192,In Service,Football,Senior,Christchurch City Council,Winter,Grass,2,Senior Football 2,,2020/06/06 00:00:00+00,2020/09/27 00:00:00+00,,,,Saturday,Garrick Park,,,2020/02/20 09:58:09+00,2022/03/18 13:54:10+00,332.003466476003,6650.18299273439
2193,In Service,Football,Training,Christchurch City Council,Winter,Grass,1,Football Training 1,,2020/06/06 00:00:00+00,2020/09/27 00:00:00+00,,,,,Garrick Park,,,2020/02/20 10:01:36+00,2022/03/18 13:57:40+00,332.003466917682,6650.18299271525
2194,In Service,Rugby League,Mini,Unknown,Winter,Grass,1,Mini Rugby League 1,,2024/04/04 00:00:00+00,2024/08/10 00:00:00+00,,,"Tuesday,Thursday",Saturday,Woolston Park,Yes,Northern Contract Area,2020/02/20 10:04:34+00,2024/06/18 12:58:10+00,139.930562158663,1198.81216580512
2196,In Service,Football,Junior,Unknown,Winter,Grass,1,junior Football 1,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Woolston Park,Yes,Northern Contract Area,2020/02/20 10:07:54+00,2024/06/18 12:53:40+00,139.949000373375,1199.15340304003
2197,In Service,Rugby League,Training,Unknown,Winter,Grass,1,Training Rugby League 1,,2024/04/06 00:00:00+00,2024/08/11 00:00:00+00,,,"Tuesday,Thursday",,Woolston Park,Yes,Northern Contract Area,2020/02/20 10:09:44+00,2024/06/18 12:57:37+00,169.869544465203,1797.15478880325
2198,Out of Service,Football,Senior,Unknown,Winter,Grass,7,Senior Football 7,,,,,,,,Avonhead Park,No,Northern Contract Area,2020/05/28 14:43:00+00,2024/06/18 13:03:06+00,339.87452493187,6994.83503833318
2199,In Service,Football,Intermediate,Unknown,Winter,Grass,1,Intermediate Football 1,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Burnside Park,Yes,Northern Contract Area,2020/05/28 14:50:32+00,2024/06/18 12:53:07+00,264.438200242537,4196.22618198344
2201,In Service,Football,Intermediate,Unknown,Winter,Grass,2,Intermediate Football 2,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Burnside Park,Yes,Northern Contract Area,2020/05/28 14:53:55+00,2024/06/18 12:53:40+00,275.613947555763,4546.31147416808
2202,In Service,Rugby,Senior,Unknown,Winter,Grass,1,Senior Rugby Union 1,HAGLEY PARK NORTH (Triangle),2024/04/13 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Hagley Park North,Yes,Eastern Contract Area,2020/06/03 10:01:18+00,2024/06/18 12:59:06+00,379.85432941411,8393.55522334455
2203,In Service,Touch Rugby,Junior,Unknown,Summer,Grass,5,Junior Touch Rugby 5,,2022/10/31 00:00:00+00,2023/03/13 00:00:00+00,2022/12/12 00:00:00+00,2023/02/13 00:00:00+00,,Monday,Crosbie Park,Yes,,2020/09/01 09:52:19+00,2022/09/20 16:16:28+00,118.020895483373,834.504583195285
2207,In Service,Ultimate Frisbee,Senior,Unknown,Summer,Grass,1,Senior Ultimate Frisbee 1,,2022/10/03 00:00:00+00,2022/03/23 00:00:00+00,2022/12/19 00:00:00+00,2022/01/16 00:00:00+00,Thursday,,Ferrier Park,No,,2020/09/01 10:42:41+00,2022/09/20 16:16:29+00,302.999397408257,5151.66508727465
2209,Out of Service,Ultimate Frisbee,Senior,Christchurch City Council,Summer,Grass,5,Senior Ultimate Frisbee 5,,,,,,,"Monday,Thursday,Sunday",Nunweek Park,Yes,,2020/09/01 11:50:01+00,2022/09/20 16:16:29+00,280.841946070978,3891.73453108502
2210,In Service,Ultimate Frisbee,Senior,Christchurch City Council,Summer,Grass,1,Senior Ultimate Frisbee 1,,2022/10/06 00:00:00+00,2022/03/23 00:00:00+00,2022/12/15 00:00:00+00,2023/01/19 00:00:00+00,Thursday,,Ray Blank Park,Yes,,2020/09/01 12:01:51+00,2022/09/20 16:16:28+00,291.541970202093,4578.03905719373
