Year as at February,Industry,Industry Code,Measure,Value,Value Unit,Value Label,Null Reason
2017,Jewellery and silverware manufacturing,C2591,Enterprises,354,number,Number of enterprises,
2017,Electricity supply,D26,Employee count,10000,number,Number of employees,
2017,Fossil fuel electricity generation,D2611,Employee count,1500,number,Number of employees,
2017,Clothing retailing,G4251,Employee count,15800,number,Number of employees,
2017,Rail freight transport,I4710,Employee count,2800,number,Number of employees,
2017,Defence,O7600,Employee count,11600,number,Number of employees,
2018,Other non-metallic mineral mining and quarrying,B0990,Employee count,190,number,Number of employees,
2018,Pharmaceutical and medicinal product manufacturing,C184,Enterprises,129,number,Number of enterprises,
2018,Polymer product manufacturing,C191,Employee count,12200,number,Number of employees,
2018,Prefabricated metal building manufacturing,C2222,Employee count,520,number,Number of employees,
2018,Machinery and equipment wholesaling,F34,Enterprises,3609,number,Number of enterprises,
2018,Rail transport,I47,Enterprises,3,number,Number of enterprises,
2018,Other administrative services,N729,Employee count,16600,number,Number of employees,
2018,Document preparation services,N7292,Enterprises,180,number,Number of enterprises,
2019,Rigid and semi-rigid polymer product manufacturing,C1912,Enterprises,231,number,Number of enterprises,
2019,Other building installation services,E3239,Enterprises,1026,number,Number of enterprises,
2019,Information media and telecommunications,J,Employee count,30700,number,Number of employees,
2019,Post-production services and other motion picture and video activities,J5514,Enterprises,840,number,Number of enterprises,
2019,Ambulance services,Q8591,Enterprises,57,number,Number of enterprises,
2019,Other residential care services,Q8609,Employee count,16000,number,Number of employees,
2020,Cigarette and tobacco product manufacturing,C1220,Enterprises,3,number,Number of enterprises,
2020,Synthetic fibre textile manufacturing,C1313,Employee count,50,number,Number of employees,
2020,Aircraft manufacturing and repair services,C2394,Employee count,1950,number,Number of employees,
2020,Pumps and compressor manufacturing,C2451,Employee count,290,number,Number of employees,
2020,Other agricultural product wholesaling,F3319,Enterprises,795,number,Number of enterprises,
2020,Paper product wholesaling,F3736,Employee count,2650,number,Number of employees,
2020,Grain storage services,I5301,Enterprises,3,number,Number of enterprises,
2020,Property operators and real estate services,L67,Enterprises,115287,number,Number of enterprises,
2020,Educational support services,P8220,Enterprises,771,number,Number of enterprises,
2020,Horse and dog racing activities,R912,Enterprises,585,number,Number of enterprises,
2021,Other livestock farming n.e.c.,A0199,Employee count,460,number,Number of employees,
2021,Biscuit manufacturing (factory based),C1173,Enterprises,27,number,Number of enterprises,
2021,Footwear manufacturing,C1352,Enterprises,21,number,Number of enterprises,
2021,Polymer product and rubber product manufacturing,C19,Enterprises,606,number,Number of enterprises,
2021,Polymer film and sheet packaging material manufacturing,C1911,Employee count,1700,number,Number of employees,
2021,Fabricated metal product manufacturing,C22,Employee count,25900,number,Number of employees,
2021,Wooden furniture and upholstered seat manufacturing,C2511,Enterprises,1167,number,Number of enterprises,
2021,Building installation services,E323,Enterprises,14199,number,Number of enterprises,
2021,"Meat, poultry and smallgoods wholesaling",F3602,Enterprises,168,number,Number of enterprises,
2021,Fruit and vegetable retailing,G4122,Employee count,1800,number,Number of employees,
2021,Hardware and building supplies retailing,G4231,Enterprises,999,number,Number of enterprises,
2021,Other telecommunications services,J5809,Enterprises,177,number,Number of enterprises,
2021,Farm animal and bloodstock leasing,L6620,Enterprises,1542,number,Number of enterprises,
2021,Other goods and equipment rental and hiring n.e.c.,L6639,Employee count,5000,number,Number of employees,
2021,Medical services,Q851,Enterprises,7191,number,Number of enterprises,
2021,Hairdressing and beauty services,S9511,Enterprises,5316,number,Number of enterprises,
2021,Laundry and dry-cleaning services,S9531,Employee count,3850,number,Number of employees,
2022,Other grain growing,A0149,Employee count,710,number,Number of employees,
