Year,Cross analysis variable,Category,Measured variable,Response category,Value,Value Unit,Value Label,Null Reason
2021,Labour Force Status,Unemployed,Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",12.1,percentage,% of people who volunteered,
2021,Labour Force Status,Not in the labour force,Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",17.6,percentage,% of people who volunteered,
2021,Labour Force Status,Employed,Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",9.9,percentage,% of people who volunteered,
2021,Labour Force Status,Unemployed,Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",,percentage,% of people who volunteered,suppressed
2021,Labour Force Status,Not in the labour force,Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",14.1,percentage,% of people who volunteered,
2021,Labour Force Status,Employed,Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",6.6,percentage,% of people who volunteered,
2021,Labour Force Status,Unemployed,Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",,percentage,% of people who volunteered,suppressed
2021,Labour Force Status,Not in the labour force,Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",6.9,percentage,% of people who volunteered,
2021,Labour Force Status,Employed,Percentage of volunteers by type of organisation - over previous four weeks,Other,7.9,percentage,% of people who volunteered,
2021,Labour Force Status,Unemployed,Percentage of volunteers by type of organisation - over previous four weeks,Other,,percentage,% of people who volunteered,suppressed
2021,Labour Force Status,Not in the labour force,Percentage of volunteers by type of organisation - over previous four weeks,Other,4.2,percentage,% of people who volunteered,
2021,Labour Force Status,Employed,Total hours volunteered - over previous four weeks,Directly for an individual,9436.6,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered - over previous four weeks,Directly for an individual,432,number,Thousands of hours,
2021,Labour Force Status,Not in the labour force,Total hours volunteered - over previous four weeks,Directly for an individual,6901.5,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",1513.8,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",309.9,number,Thousands of hours,
2021,Labour Force Status,Not in the labour force,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",547.9,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,2894.5,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,89,number,Thousands of hours,
2021,Labour Force Status,Not in the labour force,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,875.6,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",1558.2,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",104.9,number,Thousands of hours,
2021,Labour Force Status,Not in the labour force,Total hours volunteered by type of organisation - over previous four weeks,"Education or research (eg play centre, school boards)",863.8,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,2227,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,224.3,number,Thousands of hours,
2021,Labour Force Status,Not in the labour force,Total hours volunteered by type of organisation - over previous four weeks,Religious or spiritual,1279.4,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",652.4,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",,number,Thousands of hours,suppressed
2021,Labour Force Status,Not in the labour force,Total hours volunteered by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",531,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",1347.5,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",43.4,number,Thousands of hours,
2021,Labour Force Status,Not in the labour force,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",980,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",863,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",,number,Thousands of hours,suppressed
2021,Labour Force Status,Not in the labour force,Total hours volunteered by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",443.2,number,Thousands of hours,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Was dissatisfied with previous volunteering experience,0.7,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Total hours volunteered by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",438.4,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",,number,Thousands of hours,suppressed
2021,Labour Force Status,Not in the labour force,Total hours volunteered by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",173.8,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered by type of organisation - over previous four weeks,Other,501.4,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered by type of organisation - over previous four weeks,Other,,number,Thousands of hours,suppressed
2021,Labour Force Status,Not in the labour force,Total hours volunteered by type of organisation - over previous four weeks,Other,470.8,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered - over previous four weeks,Total for organisations,11996.1,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered - over previous four weeks,Total for organisations,837.2,number,Thousands of hours,
2021,Labour Force Status,Not in the labour force,Total hours volunteered - over previous four weeks,Total for organisations,6165.5,number,Thousands of hours,
2021,Labour Force Status,Employed,Total hours volunteered - over previous four weeks,Total for organisations and directly combined,21432.7,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Total hours volunteered - over previous four weeks,Total for organisations and directly combined,1269.2,number,Thousands of hours,
2021,Labour Force Status,Not in the labour force,Total hours volunteered - over previous four weeks,Total for organisations and directly combined,13067,number,Thousands of hours,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,There are no barriers,8.2,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,There are no barriers,16.9,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,There are no barriers,11.5,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,No one asked me to volunteer,18.4,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,No one asked me to volunteer,21.3,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,No one asked me to volunteer,14.7,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Did not know how to get involved,8.8,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Did not know how to get involved,16,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Did not know how to get involved,5.8,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Volunteered in the past,7.8,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Volunteered in the past,11,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Volunteered in the past,9.8,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Health problems / physically unable to volunteer,5.1,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Health problems / physically unable to volunteer,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Health problems / physically unable to volunteer,30.7,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Did not have the time,56.9,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Did not have the time,17.5,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Did not have the time,21.1,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Too costly / can't afford it,1.3,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Too costly / can't afford it,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Too costly / can't afford it,2.2,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Don't want to make a long term commitment,8.9,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Don't want to make a long term commitment,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Don't want to make a long term commitment,9.6,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Prefer to give money instead of time,6,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Prefer to give money instead of time,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Prefer to give money instead of time,5.6,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Had no interest,6.1,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Had no interest,15,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Had no interest,8.3,percentage,% of people who did not volunteer,
2021,Household income,"$30,001 – $70,000",Total hours volunteered over previous four weeks,Directly,4947,number,Thousands of hours,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Was dissatisfied with previous volunteering experience,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Was dissatisfied with previous volunteering experience,1,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering for an organisation,Another reason,3.9,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering for an organisation,Another reason,6.8,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering for an organisation,Another reason,9,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,There are no barriers,11.1,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,There are no barriers,16.5,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,There are no barriers,13,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,No one asked me to volunteer,25.3,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,No one asked me to volunteer,33.5,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,No one asked me to volunteer,20.4,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,Don't know anyone who needs help,9.4,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,Don't know anyone who needs help,15.1,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,Don't know anyone who needs help,10,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,Volunteered in the past,4.8,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,Volunteered in the past,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,Volunteered in the past,5.9,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,Health problems / physically unable to volunteer,4.5,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,Health problems / physically unable to volunteer,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,Health problems / physically unable to volunteer,26.6,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,Did not have the time,51.7,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,Did not have the time,16.5,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,Did not have the time,20.9,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,Too costly / can't afford it,0.7,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,Too costly / can't afford it,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,Too costly / can't afford it,0.7,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,Don't want to make a long term commitment,7.7,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,Don't want to make a long term commitment,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,Don't want to make a long term commitment,7.3,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,Prefer to give money instead of time,3.3,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,Prefer to give money instead of time,,percentage,% of people who did not volunteer,suppressed
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,Prefer to give money instead of time,3.3,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,Had no interest,4.3,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,Had no interest,15.5,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,Had no interest,6.2,percentage,% of people who did not volunteer,
2021,Labour Force Status,Employed,Barriers to volunteering directly for another person,Another reason,2.5,percentage,% of people who did not volunteer,
2021,Labour Force Status,Unemployed,Barriers to volunteering directly for another person,Another reason,5.6,percentage,% of people who did not volunteer,
2021,Labour Force Status,Not in the labour force,Barriers to volunteering directly for another person,Another reason,5.8,percentage,% of people who did not volunteer,
2021,Highest qualification,No qualification,Total,Total,13.9,percentage,% of people,
2021,Highest qualification,Level 1–4 certificate,Total,Total,46.6,percentage,% of people,
2021,Highest qualification,Level 5–6 diploma,Total,Total,13.5,percentage,% of people,
2021,Highest qualification,Level 7 / Bachelor degree and above,Total,Total,26,percentage,% of people,
2021,Highest qualification,No qualification,Percentage that volunteered over previous four weeks,Through an Organisation,20.4,percentage,% of people within group,
2021,Highest qualification,Level 1–4 certificate,Percentage that volunteered over previous four weeks,Through an Organisation,28.5,percentage,% of people within group,
2021,Highest qualification,Level 5–6 diploma,Percentage that volunteered over previous four weeks,Through an Organisation,28.6,percentage,% of people within group,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage that volunteered over previous four weeks,Through an Organisation,39.6,percentage,% of people within group,
2021,Highest qualification,No qualification,Percentage that volunteered over previous four weeks,Directly,27.9,percentage,% of people within group,
2021,Highest qualification,Level 1–4 certificate,Percentage that volunteered over previous four weeks,Directly,35.1,percentage,% of people within group,
2021,Highest qualification,Level 5–6 diploma,Percentage that volunteered over previous four weeks,Directly,43.5,percentage,% of people within group,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage that volunteered over previous four weeks,Directly,37.7,percentage,% of people within group,
2021,Highest qualification,No qualification,Percentage that volunteered over previous four weeks,Total that volunteered,37.9,percentage,% of people within group,
2021,Highest qualification,Level 1–4 certificate,Percentage that volunteered over previous four weeks,Total that volunteered,49.4,percentage,% of people within group,
2021,Highest qualification,Level 5–6 diploma,Percentage that volunteered over previous four weeks,Total that volunteered,53.4,percentage,% of people within group,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage that volunteered over previous four weeks,Total that volunteered,58.1,percentage,% of people within group,
2021,Highest qualification,No qualification,Percentage that volunteered over previous four weeks,Total that did not volunteer,62.1,percentage,% of people within group,
2021,Highest qualification,Level 1–4 certificate,Percentage that volunteered over previous four weeks,Total that did not volunteer,50.6,percentage,% of people within group,
2021,Highest qualification,Level 5–6 diploma,Percentage that volunteered over previous four weeks,Total that did not volunteer,46.6,percentage,% of people within group,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage that volunteered over previous four weeks,Total that did not volunteer,41.9,percentage,% of people within group,
2021,Highest qualification,No qualification,Total hours volunteered over previous four weeks,Through an Organisation,2123.3,number,Thousands of hours,
2021,Highest qualification,Level 1–4 certificate,Total hours volunteered over previous four weeks,Through an Organisation,8620.1,number,Thousands of hours,
2021,Highest qualification,Level 5–6 diploma,Total hours volunteered over previous four weeks,Through an Organisation,1981.4,number,Thousands of hours,
2021,Highest qualification,Level 7 / Bachelor degree and above,Total hours volunteered over previous four weeks,Through an Organisation,5702.4,number,Thousands of hours,
2021,Highest qualification,No qualification,Total hours volunteered over previous four weeks,Directly,1829.9,number,Thousands of hours,
2021,Highest qualification,Level 1–4 certificate,Total hours volunteered over previous four weeks,Directly,7594.5,number,Thousands of hours,
2021,Highest qualification,Level 5–6 diploma,Total hours volunteered over previous four weeks,Directly,3225.4,number,Thousands of hours,
2021,Highest qualification,Level 7 / Bachelor degree and above,Total hours volunteered over previous four weeks,Directly,3665.9,number,Thousands of hours,
2021,Highest qualification,No qualification,Total hours volunteered over previous four weeks,Total that volunteered,3953.2,number,Thousands of hours,
2021,Highest qualification,Level 1–4 certificate,Total hours volunteered over previous four weeks,Total that volunteered,16214.5,number,Thousands of hours,
2021,Highest qualification,Level 5–6 diploma,Total hours volunteered over previous four weeks,Total that volunteered,5206.8,number,Thousands of hours,
2021,Highest qualification,Level 7 / Bachelor degree and above,Total hours volunteered over previous four weeks,Total that volunteered,9368.3,number,Thousands of hours,
2021,Highest qualification,No qualification,Average hours volunteered for previous four weeks,Through an Organisation,20,number,Hours,
2021,Highest qualification,Level 1–4 certificate,Average hours volunteered for previous four weeks,Through an Organisation,16.8,number,Hours,
2021,Highest qualification,Level 5–6 diploma,Average hours volunteered for previous four weeks,Through an Organisation,13.3,number,Hours,
2021,Highest qualification,Level 7 / Bachelor degree and above,Average hours volunteered for previous four weeks,Through an Organisation,14.5,number,Hours,
2021,Highest qualification,No qualification,Average hours volunteered for previous four weeks,Directly,12.3,number,Hours,
2021,Highest qualification,Level 1–4 certificate,Average hours volunteered for previous four weeks,Directly,12,number,Hours,
2021,Highest qualification,Level 5–6 diploma,Average hours volunteered for previous four weeks,Directly,14.4,number,Hours,
2021,Highest qualification,Level 7 / Bachelor degree and above,Average hours volunteered for previous four weeks,Directly,9.7,number,Hours,
2021,Highest qualification,No qualification,Average hours volunteered for previous four weeks,Total that volunteered,19.9,number,Hours,
2021,Highest qualification,Level 1–4 certificate,Average hours volunteered for previous four weeks,Total that volunteered,18.2,number,Hours,
2021,Highest qualification,Level 5–6 diploma,Average hours volunteered for previous four weeks,Total that volunteered,18.9,number,Hours,
2021,Highest qualification,Level 7 / Bachelor degree and above,Average hours volunteered for previous four weeks,Total that volunteered,16.2,number,Hours,
2021,Highest qualification,No qualification,Percentage of volunteers by number of hours contributed,Less than 5 hours,37.8,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of volunteers by number of hours contributed,Less than 5 hours,32,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of volunteers by number of hours contributed,Less than 5 hours,34.4,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of volunteers by number of hours contributed,Less than 5 hours,36.4,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of volunteers by number of hours contributed,5 to 10 hours,19.9,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of volunteers by number of hours contributed,5 to 10 hours,18.7,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of volunteers by number of hours contributed,5 to 10 hours,13.3,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of volunteers by number of hours contributed,5 to 10 hours,18.5,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of volunteers by number of hours contributed,10 to 15 hours,6,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of volunteers by number of hours contributed,10 to 15 hours,18,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of volunteers by number of hours contributed,10 to 15 hours,16.1,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of volunteers by number of hours contributed,10 to 15 hours,12.8,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of volunteers by number of hours contributed,15 to 20 hours,7.6,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of volunteers by number of hours contributed,15 to 20 hours,7.2,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of volunteers by number of hours contributed,15 to 20 hours,6.5,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of volunteers by number of hours contributed,15 to 20 hours,4.4,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of volunteers by number of hours contributed,20 to 25 hours,4.3,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of volunteers by number of hours contributed,20 to 25 hours,6.2,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of volunteers by number of hours contributed,20 to 25 hours,10.8,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of volunteers by number of hours contributed,20 to 25 hours,9.2,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of volunteers by number of hours contributed,25+ hours,24.4,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of volunteers by number of hours contributed,25+ hours,18,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of volunteers by number of hours contributed,25+ hours,18.9,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of volunteers by number of hours contributed,25+ hours,18.7,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,4.4,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,4.5,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,5.1,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of total volunteer hours by number of hours contributed,Less than 5 hours,5.7,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,6.9,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,6.8,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,4.7,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of total volunteer hours by number of hours contributed,5 to 10 hours,7.5,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,3.3,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,11.1,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,9.9,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of total volunteer hours by number of hours contributed,10 to 15 hours,8.9,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,6.2,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,6.4,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,5.4,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of total volunteer hours by number of hours contributed,15 to 20 hours,4.5,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,4.8,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,7.3,percentage,% of people who volunteered,
2021,Highest qualification,Level 5–6 diploma,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,11.9,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of total volunteer hours by number of hours contributed,20 to 25 hours,11.8,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Percentage of total volunteer hours by number of hours contributed,25+ hours,74.3,percentage,% of people who volunteered,
2021,Highest qualification,Level 1–4 certificate,Percentage of total volunteer hours by number of hours contributed,25+ hours,63.9,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Number of people by number of hours contributed,5 to 10 hours,23.5,number,Thousands of hours,
2021,Highest qualification,Level 5–6 diploma,Percentage of total volunteer hours by number of hours contributed,25+ hours,62.9,percentage,% of people who volunteered,
2021,Highest qualification,Level 7 / Bachelor degree and above,Percentage of total volunteer hours by number of hours contributed,25+ hours,61.6,percentage,% of people who volunteered,
2021,Highest qualification,No qualification,Number of people by number of hours contributed,Less than 5 hours,74.9,number,Thousands of hours,
2021,Highest qualification,Level 1–4 certificate,Number of people by number of hours contributed,Less than 5 hours,284.7,number,Thousands of hours,
2021,Highest qualification,Level 5–6 diploma,Number of people by number of hours contributed,Less than 5 hours,94.8,number,Thousands of hours,
2021,Highest qualification,Level 7 / Bachelor degree and above,Number of people by number of hours contributed,Less than 5 hours,210.6,number,Thousands of hours,
2021,Highest qualification,No qualification,Number of people by number of hours contributed,5 to 10 hours,39.4,number,Thousands of hours,
2021,Highest qualification,Level 1–4 certificate,Number of people by number of hours contributed,5 to 10 hours,166.1,number,Thousands of hours,
2021,Highest qualification,Level 5–6 diploma,Number of people by number of hours contributed,5 to 10 hours,36.5,number,Thousands of hours,
2021,Highest qualification,Level 7 / Bachelor degree and above,Number of people by number of hours contributed,5 to 10 hours,107,number,Thousands of hours,
