Year,Cross analysis variable,Category,Measured variable,Response category,Value,Value Unit,Value Label,Null Reason
2021,Ethnic Group,Asian,Percentage of volunteers by type of organisation - over previous four weeks,"Health (eg hospitals, nursing homes, cancer foundations)",,percentage,% of people who volunteered,suppressed
2021,Ethnic Group,European,Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",17.5,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",16.5,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",9.8,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",13.4,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",13.2,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",9.2,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",,percentage,% of people who volunteered,suppressed
2021,Ethnic Group,Asian,Percentage of volunteers by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",,percentage,% of people who volunteered,suppressed
2021,Ethnic Group,European,Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",6.8,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",16.3,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",,percentage,% of people who volunteered,suppressed
2021,Ethnic Group,Asian,Percentage of volunteers by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",,percentage,% of people who volunteered,suppressed
2021,Ethnic Group,European,Percentage of volunteers by type of organisation - over previous four weeks,Other,5.1,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by type of organisation - over previous four weeks,Other,11.3,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by type of organisation - over previous four weeks,Other,,percentage,% of people who volunteered,suppressed
2021,Ethnic Group,Asian,Percentage of volunteers by type of organisation - over previous four weeks,Other,,percentage,% of people who volunteered,suppressed
2021,Ethnic Group,European,Total hours volunteered - over previous four weeks,Directly for an individual,12845.4,number,Thousands of hours,
2021,Ethnic Group,Māori,Total hours volunteered - over previous four weeks,Directly for an individual,2949.4,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Total hours volunteered - over previous four weeks,Directly for an individual,1618.6,number,Thousands of hours,
2021,Ethnic Group,Asian,Total hours volunteered - over previous four weeks,Directly for an individual,1052.4,number,Thousands of hours,
2021,Ethnic Group,European,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",947.3,number,Thousands of hours,
2021,Ethnic Group,Māori,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",1501,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",71.8,number,Thousands of hours,
2021,Ethnic Group,Asian,Total hours volunteered by type of organisation - over previous four weeks,"Arts or culture (eg cultural groups, ushering, museums)",67.9,number,Thousands of hours,
2021,Ethnic Group,European,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,3146.2,number,Thousands of hours,
2021,Ethnic Group,Māori,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,906.5,number,Thousands of hours,
2021,Ethnic Group,Pacific Peoples,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,368.9,number,Thousands of hours,
2021,Ethnic Group,Asian,Total hours volunteered by type of organisation - over previous four weeks,Sports or recreation,61.5,number,Thousands of hours,
