Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2010,Apprentices,"Business Administration, Management & Computing Professionals",1080,number,Number of people,
2011,Apprentices,"Business Administration, Management & Computing Professionals",580,number,Number of people,
2012,Apprentices,"Business Administration, Management & Computing Professionals",425,number,Number of people,
2013,Apprentices,"Business Administration, Management & Computing Professionals",390,number,Number of people,
2014,Apprentices,"Business Administration, Management & Computing Professionals",465,number,Number of people,
2015,Apprentices,"Business Administration, Management & Computing Professionals",1555,number,Number of people,
2016,Apprentices,"Business Administration, Management & Computing Professionals",800,number,Number of people,
2017,Apprentices,"Business Administration, Management & Computing Professionals",660,number,Number of people,
2018,Apprentices,"Business Administration, Management & Computing Professionals",580,number,Number of people,
2009,Apprentices,Call or Contact Centre Professionals,20,number,Number of people,
2010,Apprentices,Call or Contact Centre Professionals,30,number,Number of people,
2011,Apprentices,Call or Contact Centre Professionals,15,number,Number of people,
2012,Apprentices,Call or Contact Centre Professionals,10,number,Number of people,
2013,Apprentices,Call or Contact Centre Professionals,5,number,Number of people,
2014,Apprentices,Call or Contact Centre Professionals,0,number,Number of people,
2015,Apprentices,Call or Contact Centre Professionals,0,number,Number of people,
2016,Apprentices,Call or Contact Centre Professionals,0,number,Number of people,
2017,Apprentices,Call or Contact Centre Professionals,0,number,Number of people,
2018,Apprentices,Call or Contact Centre Professionals,0,number,Number of people,
2009,Apprentices,Carpenters,8530,number,Number of people,
2010,Apprentices,Carpenters,7755,number,Number of people,
2011,Apprentices,Carpenters,7070,number,Number of people,
2012,Apprentices,Carpenters,6600,number,Number of people,
2013,Apprentices,Carpenters,7325,number,Number of people,
2014,Apprentices,Carpenters,8945,number,Number of people,
2015,Apprentices,Carpenters,9275,number,Number of people,
2016,Apprentices,Carpenters,10255,number,Number of people,
2017,Apprentices,Carpenters,11465,number,Number of people,
2018,Apprentices,Carpenters,12430,number,Number of people,
2009,Apprentices,Civil Construction Professionals,990,number,Number of people,
2010,Apprentices,Civil Construction Professionals,865,number,Number of people,
2011,Apprentices,Civil Construction Professionals,755,number,Number of people,
2012,Apprentices,Civil Construction Professionals,750,number,Number of people,
2013,Apprentices,Civil Construction Professionals,670,number,Number of people,
2014,Apprentices,Civil Construction Professionals,515,number,Number of people,
2015,Apprentices,Civil Construction Professionals,375,number,Number of people,
2016,Apprentices,Civil Construction Professionals,335,number,Number of people,
2017,Apprentices,Civil Construction Professionals,425,number,Number of people,
2018,Apprentices,Civil Construction Professionals,505,number,Number of people,
2009,Apprentices,"Clothing, Footwear & Textile Manufacturing Professionals",75,number,Number of people,
