Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2011,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",545,number,Number of people,
2012,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",485,number,Number of people,
2013,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",470,number,Number of people,
2014,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",500,number,Number of people,
2015,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",515,number,Number of people,
2016,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",570,number,Number of people,
2017,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",650,number,Number of people,
2018,Apprentices,"Heating, Refrigeration & Air Conditioning Professionals",655,number,Number of people,
2009,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",2860,number,Number of people,
2010,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",2655,number,Number of people,
2011,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",2020,number,Number of people,
2012,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",2080,number,Number of people,
2013,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",2035,number,Number of people,
2014,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",1910,number,Number of people,
2015,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",1825,number,Number of people,
2016,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",2065,number,Number of people,
2017,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",2195,number,Number of people,
2018,Apprentices,"Horticultural Professionals, including Sports Turf and Floristry",2030,number,Number of people,
2009,Apprentices,Hospitality Professionals,1175,number,Number of people,
2010,Apprentices,Hospitality Professionals,1220,number,Number of people,
2011,Apprentices,Hospitality Professionals,825,number,Number of people,
2012,Apprentices,Hospitality Professionals,705,number,Number of people,
2013,Apprentices,Hospitality Professionals,500,number,Number of people,
2014,Apprentices,Hospitality Professionals,600,number,Number of people,
2015,Apprentices,Hospitality Professionals,805,number,Number of people,
2016,Apprentices,Hospitality Professionals,820,number,Number of people,
2017,Apprentices,Hospitality Professionals,910,number,Number of people,
2018,Apprentices,Hospitality Professionals,905,number,Number of people,
2009,Apprentices,Joiners & Glaziers,700,number,Number of people,
2010,Apprentices,Joiners & Glaziers,630,number,Number of people,
2011,Apprentices,Joiners & Glaziers,445,number,Number of people,
2012,Apprentices,Joiners & Glaziers,410,number,Number of people,
2013,Apprentices,Joiners & Glaziers,475,number,Number of people,
2014,Apprentices,Joiners & Glaziers,445,number,Number of people,
2015,Apprentices,Joiners & Glaziers,345,number,Number of people,
2016,Apprentices,Joiners & Glaziers,280,number,Number of people,
2017,Apprentices,Joiners & Glaziers,355,number,Number of people,
2018,Apprentices,Joiners & Glaziers,485,number,Number of people,
2009,Apprentices,Journalists,40,number,Number of people,
2010,Apprentices,Journalists,50,number,Number of people,
2011,Apprentices,Journalists,65,number,Number of people,
2013,Apprentices,Journalists,45,number,Number of people,
2014,Apprentices,Journalists,50,number,Number of people,
