Year,Measure,Category,Disability status,Age group,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),1–2,Non-disabled,5-*,Absolute sampling error (percentage),0.6,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),1–2,Non-disabled,5-*,Number,324,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),1–2,Non-disabled,5-*,Absolute sampling error (number),23,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),3–4,Disabled,5-*,Percent,38,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),3–4,Disabled,5-*,Absolute sampling error (percentage),2,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),3–4,Disabled,5-*,Number,317,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),3–4,Disabled,5-*,Absolute sampling error (number),21,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),3–4,Non-disabled,5-*,Percent,33,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),3–4,Non-disabled,5-*,Absolute sampling error (percentage),0.9,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),3–4,Non-disabled,5-*,Number,1297,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),3–4,Non-disabled,5-*,Absolute sampling error (number),36,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),5–7,Disabled,5-*,Percent,34,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),5–7,Disabled,5-*,Absolute sampling error (percentage),2.1,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),5–7,Disabled,5-*,Number,280,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),5–7,Disabled,5-*,Absolute sampling error (number),19,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),5–7,Non-disabled,5-*,Percent,58,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),5–7,Non-disabled,5-*,Absolute sampling error (percentage),1.1,percentage,% of people aged 5+,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),5–7,Non-disabled,5-*,Number,2328,number,Thousands of people,
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),5–7,Non-disabled,5-*,Absolute sampling error (number),48,number,Thousands of people,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Disabled,5-*,Percent,61,percentage,% of disabled people aged 5+,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Disabled,5-*,Absolute sampling error (percentage),2.4,percentage,% of disabled people aged 5+,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Disabled,5-*,Number,502,number,Thousands of people,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Disabled,5-*,Absolute sampling error (number),26,number,Thousands of people,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+,not applicable
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+,not applicable
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Non-disabled,5-*,Number,,number,Thousands of people,not applicable
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Disabled,5-*,Percent,70,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Disabled,5-*,Absolute sampling error (percentage),2.8,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Disabled,5-*,Number,351,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Disabled,5-*,Absolute sampling error (number),22,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Disabled,5-*,Percent,8,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Disabled,5-*,Absolute sampling error (percentage),1.5,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Disabled,5-*,Number,38,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Disabled,5-*,Absolute sampling error (number),8,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Disabled,5-*,Percent,4,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Disabled,5-*,Absolute sampling error (percentage),1,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Disabled,5-*,Number,18,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Disabled,5-*,Absolute sampling error (number),5,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
